sector,sector_id,composite_score,avg_hit_rate,avg_sharpe,observations,trend_signal,momentum_20_ic,ma_cross_50_200_ic,adx_14_ic,cto_larsson_ic,rank
Data Centers & Infrastructure,data_centers,0.45986942114918905,0.54096663099401,0.9511938953467791,13240,GREEN,0.15158849092442592,0.6121994402853741,0.15105741229415834,0.2551155614264455,1
SaaS / Cloud Software,saas,0.4566231859998009,0.549262469239067,1.0173165066673813,15226,GREEN,0.04686304108967409,0.6046269503187577,0.05678021935712842,0.10321467063760906,2
Agriculture,agriculture,0.4470444129362522,0.5247114691494579,1.1154393167203955,13240,YELLOW,0.054919321863913254,0.3164315285620884,-0.009806587768541633,0.11632740127898669,3
Crypto & Blockchain,crypto,0.4355448977091641,0.5699426364639785,0.9242696705837341,13902,GREEN,0.04742334829361263,0.571560959128619,0.0901533567862465,0.09183297723689456,4
Communications & Telecom,communications,0.29123860239940624,0.5399061980371506,0.591369419535352,11250,GREEN,0.14395907001043515,0.24467523786056644,0.14080858390028528,0.15987809954005827,5
Artificial Intelligence,ai,0.27667152295523295,0.5204065755420516,0.5946649853858182,15226,YELLOW,0.10884523362546775,0.3583392090161965,-0.0019593646530046433,0.1781444390966617,6
Semiconductors,semiconductors,0.24435044390770838,0.5634264884581306,0.4487917469556093,15888,YELLOW,0.03482518961012664,0.3493533991583358,0.0720324846526704,0.10627394827448751,7
Cybersecurity,cybersecurity,0.2138042886195006,0.5284858268862329,0.46983431645188756,12538,YELLOW,0.04935650485520265,0.1925041129032788,0.07156383870666334,0.05538447758742903,8
Construction & Engineering,construction,0.2090005297217632,0.5833633905559992,0.3675066917944373,15888,YELLOW,0.0797189508838687,0.24932345539265494,-0.05879207377721383,0.07666570475909777,9
Nuclear Energy,nuclear,0.1517020066644403,0.5300719574577377,0.2812349190008051,12578,YELLOW,0.05274326656262813,0.31743870815589553,-0.02651956873123122,0.058927428750032075,10
Financial Services,financial,0.12702986983465636,0.4835822484912913,0.2652428473041768,15888,YELLOW,0.1471892507996102,0.04737743246816302,0.13947938803435292,0.1693313479369561,11
Healthcare (Non-Biotech),healthcare,0.11589359448303307,0.5003584127536016,0.32921765741373243,15226,YELLOW,0.011155207796349742,0.12996254134647273,-0.08807765867778891,-0.04787018490999611,12
Minerals & Mining,minerals_mining,0.053769661868555176,0.6147979428678165,-0.042090688725185225,13902,YELLOW,0.021165163149918325,0.033900892685607406,-0.03575265152825773,-0.023626122002352815,13
Solar Energy,solar,0.017632804863707656,0.5408523272947783,-0.008270924100951892,12578,YELLOW,-0.02146571617029873,0.026488307341622563,0.008667695532552642,-0.05921906473617529,14
Energy (Oil & Gas),energy,-0.002708634611543472,0.5156275080408518,-0.031072125319931445,14564,YELLOW,0.0062025232536565165,-0.013143191322205362,-0.002686872267375584,-0.004199837653544504,15
Biotechnology,biotech,-0.12198283578282529,0.49533295886382833,-0.2971282552277729,15888,RED,-0.0606972405170816,-0.059120108100333184,-0.024612862965480015,-0.029143751518839644,16
REITs,reits,-0.15612111775382792,0.44253803005013903,-0.25027022547418265,13902,RED,-0.13747603978626793,0.023616947117557532,-0.11500964510605627,-0.16026676928748967,17
Materials & Specialty Chemicals,materials,-0.18009725140405267,0.43498016273933693,-0.34461406947539136,15888,RED,-0.07043291362462016,-0.2189137028635261,0.13415785832784605,-0.07875895305418952,18
